district_name,area_key,area_label,goal_count,action_count,metric_count,action_dollars,externalizable_dollars,movement_points,movement_improving,movement_flat,movement_worsening,movement_negative_share,pace_metrics,pace_positive,pace_negative,pace_negative_share,top_action_1,top_action_1_dollars,top_action_2,top_action_2_dollars,metric_example_1,metric_example_1_status,metric_example_1_diff
Orange Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",0,12,0,116501044.0,78347435.75,0,0,0,0,0.0,0,0,0,0.0,Counseling Services,3025772.0,"Academic and
Wellness Support for
CDS and Richland",225848.0,,,
Fountain Valley School District,school_climate_suspension,"School Climate, Behavior & Suspension",1,18,1,60723023.0,35605129.9,1,0,0,1,1.0,0,0,0,0.0,"District-wide support
for student behaviors",249576.0,"Develop leadership
capacity needed to
promote engagement
and school
connectedness",30000.0,Suspension Rate,,+0.4% from
Orange Unified School District,english_learner_progress,English Learner Progress & Reclassification,0,31,4,55958008.0,33260690.75,31,21,0,10,0.3226,4,1,3,0.75,"EL and Academic
Language
Professional
Development",1268453.0,"Visual and
Performing Arts
(VAPA)",11500554.0,"*CAASPP/CAA/LTEL
(ELA) & CA Dashboard
ELA
Increase 3% Proficiency
& 3 Status
Points Change (Green)
Yearly
Grade 11 ELA results
will be utilized to monitor
the progress of the Early
Assessment Program
(EAP): a 3% gain in
proficiency rate yearly",off_track,0.64% CAASPP
Laguna Beach Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,8,1,42942270.0,38517567.15,4,0,1,3,0.75,0,0,0,0.0,"School Climate
Programs",431641.0,"Multi-Tiered Systems
of Support (MTSS):
Social-Emotional,
Behavior, and
Attendance
Intervention Support",251981.0,"Discipline Data:
Suspension and
Expulsion Rates",,0.7%
Santa Ana Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",2,14,0,90710608.59,67240620.75,0,0,0,0,0.0,0,0,0,0.0,MTSS - Wellness,14145388.63,"Professional
Learning- Wellness",3057262.05,,,
Santa Ana Unified School District,math_proficiency,Math Proficiency,1,3,3,57145347.06,42987953.87,17,9,0,8,0.4706,0,0,0,0.0,"MTSS - Student
Achievement",29099587.3,"Differentiated
Assistance - Student
Achievement",1668516.65,"CAASPP
Math/DataQuest (%
Meets or Exceeds
Standard for Math)",,All: +1.20%
Laguna Beach Unified School District,family_community_engagement,Family & Community Engagement,0,19,17,67708292.0,59113568.7,32,27,3,2,0.0625,14,14,0,0.0,"Family and
Community Outreach",535559.0,"English Language
Development
Program",1454436.0,"Annual community LCAP
survey: Percent of
parents/guardians and
community members
reporting they are aware
of opportunities for
community input on
District goals and action
plans",on_track,: 2%
Fullerton School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,17,0,70214535.0,61885825.5,0,0,0,0,0.0,0,0,0,0.0,"Physical, Social, and
Emotional Health and
Well-being of
Students",6491485.0,"Wrap-around
Services for Physical
Well-being of
Students
Experiencing
Financial Hardships
and Foster Youth",4717805.0,,,
Laguna Beach Unified School District,special_education_inclusion,Special Education & Inclusion,0,14,6,59804761.0,51608770.6,26,17,4,5,0.1923,6,6,0,0.0,"Special Education
and 504 Plan
Services",11093533.0,"Social-Emotional
Support",2627260.0,"CAASPP scores:
Science",on_track,1.51%
Laguna Beach Unified School District,math_proficiency,Math Proficiency,0,9,3,55994871.0,48345041.45,14,10,1,3,0.2143,3,3,0,0.0,"Teaching and
Learning",38340711.0,"Special Education
and 504 Plan
Services",11093533.0,"i-Ready Math
Diagnostic: End of Year
Administration: General
population and
significant student
groups",on_track,All students; 0
Laguna Beach Unified School District,ela_proficiency,ELA Proficiency & Literacy,1,17,4,60211633.0,51609422.9,15,9,4,2,0.1333,4,4,0,0.0,"Special Education
and 504 Plan
Services",11093533.0,"Teaching and
Learning",38340711.0,"i-Ready Reading
Diagnostic: End of Year
Administration: General
population and
significant student
groups",on_track,All students: 1%
Anaheim Union High School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,14,2,79332612.8,56240307.17,2,2,0,0,0.0,1,1,0,0.0,Counseling Support,3378553.0,"Social-emotional
support and
Attendance",330000.0,"Students receiving direct
social emotional and/or
mental health services",,"Decrease by 1,002"
"Anaheim Elementary School District - Anaheim, CA",english_learner_progress,English Learner Progress & Reclassification,2,22,5,80811654.0,46911878.2,7,4,2,1,0.1429,3,3,0,0.0,"Long Term English Learner
(LTEL) Intervention",599267.0,Broad Course of Study,6576065.0,"ELPI-District
Annually increase the
percent of students
making progress toward
Overall English
proficiency by 4% until
reaching 55% or higher.
Data Source: California
School Dashboard",on_track,-3.7%
Laguna Beach Unified School District,data_technology,Data Systems & Instructional Technology,0,8,0,58843841.0,52851546.65,0,0,0,0,0.0,0,0,0,0.0,"1.3 Comprehensive
Assessment/Learning
Management
Systems and Student
Information
Technology Program",5121159.0,"Professional
Learning",481278.0,,,
"Anaheim Elementary School District - Anaheim, CA",ela_proficiency,ELA Proficiency & Literacy,0,10,4,36886752.0,26851793.5,80,46,0,34,0.425,2,1,1,0.5,"Professional Development
for TK-6 Teachers in
Literacy and Math",2660280.0,"ELA Targeted Intervention
Programs",2857054.0,"CAASPP ELA- Students
attending the online
learning program at
Roosevelt Elementary
will decrease their ELA
distance from standard
(DFS) by 15 points
annually.
Data Source: Local
Tableau Data",moving_away,2023-24
Santa Ana Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",2,6,7,71293187.01,35897331.39,53,28,2,23,0.434,0,0,0,0.0,"College and Career
Readiness",17887135.12,"Broad Course of
Study",47128625.23,"% students responded
favorably to sense of
belonging (school
connectedness)",,(Grades 4-5):
Brea Olinda Unified School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,7,2,30778023.0,17020287.65,46,0,0,46,1.0,2,0,2,1.0,"SI&A Attendance
Monitoring Platform:
SchoolStatus",77500.0,"Staffing for
Attendance
Interventions",100000.0,Chronic Absenteeism,moving_away,"In 2023-2024,"
Fullerton School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,7,2,46960401.0,42264360.9,5,3,1,1,0.2,0,0,0,0.0,"Decrease Chronic
Absenteeism",3433324.0,"Physical, Social, and
Emotional Health and
Well-being of
Students",6491485.0,"Chronic Absenteeism
Rate",,Overall: -2.6%
Garden Grove Unified School District,family_community_engagement,Family & Community Engagement,0,8,3,48688101.0,40134863.9,4,3,0,1,0.25,0,0,0,0.0,"PARENT/COMMUNI
TY OUTREACH",752681.0,"ENGLISH LEARNER
PARENT
INVOLVEMENT/EDU
CATION",6209923.0,"Annual District Survey
(Parents)
Scale: 1 (low) to 5 (high)
District Overall
Opportunities for Parent
Involvement*",,-0.29
Fullerton School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,9,4,48990097.0,42989666.5,16,14,0,2,0.125,2,2,0,0.0,"Physical, Social, and
Emotional Health and
Well-being of
Students",6491485.0,"Climate and
Community Building",563031.0,Suspension Rate,,Overall: +0.2%
Garden Grove Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,7,1,72633718.0,47886893.5,5,5,0,0,0.0,0,0,0,0.0,"Personnel to Support
Academic Skills and
Socio-emotional
Wellbeing and Mental
Wellness",76574.0,"Strategies and
Services to Support
Socio-emotional
Wellbeing and Mental
Wellness",140000.0,"Annual District Survey
(Grades 3-12)
Scale: 1 (low) to 5 (high)
Student Overall
Socioemotional
Wellbeing",,+0.08
Anaheim Union High School District,college_career_readiness,"College, Career & Postsecondary Readiness",2,11,11,81999687.7,37272939.49,53,36,3,14,0.2642,7,7,0,0.0,"College and Career
Readiness",914000.0,"Career Technical
Education (CTE)
preparedness",300000.0,"College/Career
Readiness (CCI)",on_track,District - 3.3%
Capistrano Unified School District,english_learner_progress,English Learner Progress & Reclassification,1,34,6,29799125.0,17828037.55,39,16,0,23,0.5897,1,0,1,1.0,"Supporting
underperforming
English Learners",0.0,"ELD Professional
Development and
Support",937000.0,"California Dashboard -
English Learner
Progress Indicator
LCFF Priority 4: Student
Achievement",off_track,Dashboard 2023 to
Newport-Mesa Unified School District,ela_proficiency,ELA Proficiency & Literacy,0,18,13,35363512.0,22983688.2,2,0,0,2,1.0,0,0,0,0.0,"Intensive
Individualized
Reading Intervention",609995.0,"Reading
Intervention,
Inclusive Practices,
Co-teaching",0.0,"Percentage of grade 11
students who meet or
exceed standards on
English Language Arts
SBA (state) Early
Assessment Program
CAASPP - ELA SBA",,(2026-27)
Fullerton School District,special_education_inclusion,Special Education & Inclusion,0,6,4,31376824.0,27430189.4,50,41,1,8,0.16,2,1,1,0.5,"Special Education
Student Support",21178295.0,"Decrease Chronic
Absenteeism",3433324.0,"CAASPP Distance from
Standard (DFS) - ELA
*Unduplicated student
groups",moving_away,*ELs: +3.8
Anaheim Union High School District,ela_proficiency,ELA Proficiency & Literacy,3,7,10,35803732.12,30394725.76,76,35,5,36,0.4737,6,6,0,0.0,"Instructional
Materials",7914215.18,"Inclusive Instructional
Practices and Asset-
Based Supports for
Language
Development",7550229.0,"CAASPP ELA results for
schools with a Red
indicator",on_track,Overall - (6.42%)
Santa Ana Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",1,11,4,46659443.74,32031852.73,54,33,1,20,0.3704,0,0,0,0.0,PBIS,145344.16,"Equity Multiplier -
Student Engagement",609201.0,"Suspension Rate
Enter information in
this box when
completing the LCAP
for 2024-25 or when
adding a new metric.",,All: +1.9%
Irvine Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",1,13,5,31164295.0,20267921.7,119,67,10,42,0.3529,3,1,2,0.6667,"Increased/Improved
Staffing Support:
Student behavior,
engagement, health,
and mental wellness",5005961.0,"School Climate Social
Emotional- Learning-
Actions to Support All
Students",185000.0,"School Climate
Survey LCFF
Priority 6:
School Climate
LCFF Priority 3:
Parent
Engagement",moving_away,24%
Laguna Beach Unified School District,english_learner_progress,English Learner Progress & Reclassification,0,10,4,46467207.0,40910916.85,5,5,0,0,0.0,4,4,0,0.0,"English Language
Development
Program",1454436.0,"Family and
Community Outreach",535559.0,"English Learner
Progress Indicator
(ELPI)",on_track,4%
Orange Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",0,17,8,35492808.0,20577923.45,16,15,0,1,0.0625,5,1,4,0.8,"College and Career
Readiness",1138453.0,"Secondary Academic
Support",3270108.0,"College and Career -
ELs (Richland):
*Increase 2% per year",off_track,-2.00% Decrease
Westminster School District,english_learner_progress,English Learner Progress & Reclassification,0,12,1,53061311.0,38099422.85,1,1,0,0,0.0,1,1,0,0.0,"Differentiated
Instruction",15423481.0,"Curriculum Alignment
- Orenda Education",750000.0,"English Learner
progress
* Reclassification
percentage
rates",on_track,+1.8%
Laguna Beach Unified School District,graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",0,5,1,41082366.0,36412708.75,2,2,0,0,0.0,0,0,0,0.0,"Teaching and
Learning",38340711.0,"Extended Learning
Opportunities",873815.0,"Graduation Rate (4-year
cohort data)",,All students: 2.8%
Anaheim Union High School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,6,6,45593256.86,28205283.22,25,18,0,7,0.28,5,5,0,0.0,"Mental, Physical,
Behavioral, and
Socioemotional
Health",15213197.77,Upgrade Facilities,16608628.0,Suspension rate,at_or_above_target,District - 0.3%
Fullerton Joint Union High School District,college_career_readiness,"College, Career & Postsecondary Readiness",1,17,5,33300353.0,22236287.6,31,14,9,8,0.2581,3,2,1,0.3333,"Career Technical
Education (CTE)
enhancements and
improvements to
CTE pathways and
work-based learning
opportunities to
increase the college
career indicator (CCI)
for Unduplicated
Pupil Population, as
well as SWD,
Hispanic, and
Homeless students
Districtwide and at
BPHS FUHS, LHHS,
LSHS, LVHS, SHHS,
and TRHS.",5196829.0,"Extra-curricular
programs at each site
to encourage and
support students in
connecting to their
school community.
This action also
addresses the
student groups
identified in ""red"" on
the College Career
Indicator on the
Dashboard including
SWD, EL, Hispanic,
HY, and LI.",70000.0,"UC/CSU “a-g”
completion % rates
Districtwide for all
students and focus
attention on SWD to
increase the CCI on the
California School
Dashboard.
Specific focus on
improving ""A-G""
completion % rates at
the following schools
and student groups:
BPHS:
SWD
FUHS:
SWD
EL
LHHS:
SWD
LSHS:
LI
Hispanic
LVHS:
All Students
EL
HY
LI
SWD
Hispanic
White
SHHS:
SWD
TRHS:
SWD
This metric specifically
addresses all student
groups scoring ""red"" on
the College Career
Indicator (CCI) of the
2023 Dashboard
Districtwide and at
BPHS, FUHS, LHHS,
LSHS, LVHS, SHHS,
and TRHS.",off_track,2023/2024
Newport-Mesa Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,27,5,40814624.0,17499659.7,1,0,0,1,1.0,0,0,0,0.0,"Restorative Practices
Tier 3",220000.0,"Restorative Practices
Tier 1",0.0,"Suspension rates for K-12
students - Schools and
Student Groups
CA School Dashboard",,(2026-27)
Fullerton School District,college_career_readiness,"College, Career & Postsecondary Readiness",1,4,3,34834045.0,31350640.5,13,13,0,0,0.0,2,2,0,0.0,"Advanced
Coursework and
College and Career
Readiness",637622.0,"Participation in
Exploratory
Enrichment",5886649.0,"Parent Survey - Overall
Results
FSD survey measuring
connectedness,
partnerships,
relationships, and
decision-making:
4 point scale
4 = all of the time
3 = most of the time
2 = some of the time
1 = never",,0.08
Westminster School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,9,0,44426876.0,31213937.45,0,0,0,0,0.0,0,0,0,0.0,MTSS,11006655.0,Instructional Program,8378569.0,,,
Newport-Mesa Unified School District,math_proficiency,Math Proficiency,0,8,8,28044609.0,20044247.4,2,1,0,1,0.5,0,0,0,0.0,"Mathematics:
Academic Monitoring
and Support
(Intensive)",0.0,"Math and Reading
Intervention - MV",15022.0,"Percentage of grades 3-8
students who meet or
exceed standards on
Mathematics SBA (state)
assessments
CAASPP - Math SBA",,(2026-27)
