district_name,area_key,area_label,goal_count,action_count,metric_count,action_dollars,externalizable_dollars,movement_points,movement_improving,movement_flat,movement_worsening,movement_negative_share,pace_metrics,pace_positive,pace_negative,pace_negative_share,top_action_1,top_action_1_dollars,top_action_2,top_action_2_dollars,metric_example_1,metric_example_1_status,metric_example_1_diff
Milpitas Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",1,18,7,142666570.0,92970936.8,34,30,2,2,0.0588,4,3,1,0.25,"State Seal and
Pathway to Biliteracy",58533.0,"Educational
Pathways and
Staffing",3169785.0,"Successfully completed
at least Career Technical
Education (CTE)
Pathway",moving_away,All: 95 more
Milpitas Unified School District,special_education_inclusion,Special Education & Inclusion,1,14,1,99234396.0,59843532.7,1,1,0,0,0.0,1,0,1,1.0,"Special Education
and General
Education Co-
Teacher
Development",80000.0,"Special Education
Staffing",27925248.0,"Percentage of SWD who
LRE >80%",off_track,4.2%
Milpitas Unified School District,graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",0,3,2,36239523.0,32412547.45,4,0,0,4,1.0,1,0,1,1.0,"Acceleration and
Intervention to Meet
Needs of
Unduplicated
Students",812093.0,"Standards Aligned
Curriculum and
Facilities",66000.0,Graduation Rate,moving_away,All: -3.8%
Alum Rock Union Elementary School District,ela_proficiency,ELA Proficiency & Literacy,1,18,4,58055410.9,48380589.15,0,0,0,0,0.0,2,0,2,1.0,"Biliteracy Pathway
Opportunities",82924.0,"Expanded Support
for Long-Term
English Learners &
Newcomers",578038.91,"Students meeting
Pathway to Seal of
Biliteracy criteria",off_track,
sunnyvale,mental_health_wellness,"Mental Health, SEL & Wellness",0,14,1,126217508.88,85116113.15,0,0,0,0,0.0,0,0,0,0.0,"Inclusive and
Nurturing
Environments
Targeted Staffing",6680192.13,"Inclusive and
Nurturing
Environments",2288145.0,"Student perception of
access to mental health
resources when needed",,
Milpitas Unified School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,6,1,42554147.0,35600100.1,11,7,0,4,0.3636,1,0,1,1.0,"Support and
Administrative
Staffing",35361430.0,"Adult Professional
Development:
Administrators
to address the CDE
Dashboard",0.0,Chronic Absenteeism,off_track,All: -1.5%
sunnyvale,school_climate_suspension,"School Climate, Behavior & Suspension",0,9,2,39692018.04,35675598.44,20,2,5,13,0.65,2,1,1,0.5,"Inclusive and
Nurturing
Environments",2288145.0,"Inclusive and
Nurturing
Environments
Targeted Staffing",6680192.13,"Student Suspension
Rates",moving_away,Disabilities: +1%
sunnyvale,english_learner_progress,English Learner Progress & Reclassification,0,9,6,41966485.75,36392425.16,13,12,0,1,0.0769,4,0,4,1.0,"Students Achieve
Mastery
Targeted Resources
& Services",236089.0,"Inclusive and
Nurturing
Environments Base
Staffing",20828762.12,"English learner
reclassification rate",moving_away,rate: -4%
Milpitas Unified School District,math_proficiency,Math Proficiency,0,6,2,38084049.0,33612368.45,22,10,0,12,0.5455,2,1,1,0.5,"Support and
Administrative
Staffing",35361430.0,High Impact Tutoring,1402174.0,SBAC Math,moving_away,Overall: .21%
Alum Rock Union Elementary School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,12,0,68386879.38,59259474.43,0,0,0,0,0.0,0,0,0,0.0,"Expanded Learning
Programming",9958761.53,"Expanded Learning
Opportunities",30000.0,,,
Santa Clara Unified School District,english_learner_progress,English Learner Progress & Reclassification,2,17,2,23999607.0,19599201.3,3,0,0,3,1.0,1,0,1,1.0,"Provide equitable
mental health and
wellness support for
all students, with a
focus on support for
our English learners,
foster youth,
homeless students,
and low income
students.",14868083.0,"The Family Resource
Center partners with
school sites to offer a
comprehensive set of
services and
supports to foster
youth, students
experiencing
homelessness,
English learners, low
income, and other
families to address
basic needs and
access both
community and
school site
resources.",391333.0,"Percent of “English
Learner” students
making progress
towards English
Proficiency as measured
by the English Learner
Progress Indicator
(ELPI)
(Action 1.7)",moving_away,Learner) : -0.8%
sunnyvale,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,5,2,24530492.12,22077442.91,20,12,1,7,0.35,1,0,1,1.0,"Inclusive and
Nurturing
Environments Base
Staffing",20828762.12,"Inclusive and
Nurturing
Environments",2288145.0,"Chronic absenteeism
(source: CA Dashboard)",moving_away,Disabilities: -3.1%
San José Unified School District,family_community_engagement,Family & Community Engagement,2,4,4,60947469.93,51779127.06,1,1,0,0,0.0,0,0,0,0.0,"Unified
Community -
Innovative
Workforce
(Base)",47767579.2,"Unified
Community -
Innovative
Workforce",7472684.08,"Parent and Family
Engagement
Source: California
School Dashboard
Local Performance
Indicator, Parent
and Family
Engagement,
Reflection Tool
Rating Scale",,4 out of 12
Alum Rock Union Elementary School District,special_education_inclusion,Special Education & Inclusion,0,14,0,59044966.41,50367033.04,0,0,0,0,0.0,0,0,0,0.0,"Special Services for
students",34989125.0,"Professional
development and
support to ensure
high quality
instruction",2479003.96,,,
San José Unified School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,1,3,3,31711102.2,28406671.98,8,6,0,2,0.25,2,1,1,0.5,"Rigorous
Curriculum-
Innovative
Workforce - EL
Progress, ELA,
Chronic
absenteeism,
Suspensions",242400.0,"Rigorous Curriculum-
Innovative Workforce -
EL Progress, ELA,
Chronic absenteeism,
Suspensions",242400.0,"Chronic
absenteeism rate
Source - DataQuest",off_track,3.0%
Alum Rock Union Elementary School District,english_learner_progress,English Learner Progress & Reclassification,1,13,5,93942660.1,48550033.45,0,0,0,0,0.0,0,0,0,0.0,"Expanded Support
for Long-Term
English Learners &
Newcomers",578038.91,"Expanded Support for
Long-Term English
Learners & Newcomers",578038.91,"ELPAC growth
metrics (ELPI)",,
sunnyvale,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,11,0,50036690.88,43702827.58,0,0,0,0,0.0,0,0,0,0.0,"Equitable
Opportunities
Base Resources &
Services",1053944.0,"Students Achieve
Mastery",4900344.0,,,
Milpitas Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,15,2,40844064.0,35540938.9,5,4,0,1,0.2,1,1,0,0.0,"Mental Health
Staffing",4457493.0,"Tier 1, 2, and 3
Social Emotional and
Mental Health
Supports",324398.0,Wellness Center Survey,at_or_above_target,-143 responses
Santa Clara Unified School District,special_education_inclusion,Special Education & Inclusion,2,12,4,22049514.0,18426104.35,14,5,5,4,0.2857,4,0,4,1.0,"Provide professional
learning and instructional
coaching to enhance
certificated teacher,
classified staff and site
administrator capacity to
improve student
learning, achievement in
literacy and mathematics
and graduation rates,
with a focus on English
learners, Hispanic/Latino
students, foster and
homeless youth, low
income students and
students with disabilities.",692360.0,"Invest in expansion of
inclusive practices in
order to improve access
to rigorous,
college/career readiness
courses especially for
students with disabilities
and unhoused youth, to
address areas of focus
for Differentiated
Assistance.",234471.0,"11th Grade ELA
EAP/CAASPP, Standard
Met/Exceeded",moving_away,All: -12.04%
San José Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",0,4,0,53285270.5,41929735.4,0,0,0,0,0.0,0,0,0,0.0,"Enhanced
Resources -
Innovative
Workforce
(Base)",31226302.2,"Enhanced
Resources -
Additional
Resources and
Services",11813648.7,,,
Alum Rock Union Elementary School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,7,2,45336448.62,39044402.84,0,0,0,0,0.0,0,0,0,0.0,"Positive School Climate
and Culture",2385501.31,"Positive School Climate
and Culture",153100.0,"California Dashboard
attendance data
(suspension and
expulsion data)",,
San José Unified School District,data_technology,Data Systems & Instructional Technology,0,4,0,43165556.71,38849001.04,0,0,0,0,0.0,0,0,0,0.0,"Enhanced
Resources -
Innovative
Workforce
(Base)",31226302.2,"Enhanced
Resources -
Additional
Resources and
Services (Base)",9004683.38,,,
Milpitas Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,16,0,41590677.0,35422847.95,0,0,0,0,0.0,0,0,0,0.0,"Acceleration and
Intervention to Meet
Needs of
Unduplicated
Students",812093.0,High Impact Tutoring,1402174.0,,,
Santa Clara Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",2,15,3,19733852.0,17391220.3,13,0,0,13,1.0,0,0,0,0.0,"Provide teachers with
Professional
Learning
opportunities focused
on supporting youth
in the areas of Social
Emotional Learning,
restorative practices,
and de-escalation
strategies.",20000.0,"Increase student
ownership of their
academic journey
and foster a sense of
accountability and
celebration in relation
to meeting/not
meeting educational
outcomes.
students with the highest
need as a Tier 2 support.
and mental health
needs.
areas of Social
Emotional Learning,
restorative practices,
and de-escalation
strategies.",12000.0,"Percent of students
completing two
semesters, three
quarters, or three
trimesters of
partner/associated
credit-granting, college
course in either an
academic discipline
(e.g., English) or CTE
discipline with a C- or
better.
(Action 3.6)",,Overall: +2.4%.
Alum Rock Union Elementary School District,graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",0,3,2,38595987.77,34736388.99,0,0,0,0,0.0,1,1,0,0.0,"Special Services for
students",34989125.0,"Professional
development and
support to ensure
high quality
instruction",2479003.96,"Middle School Dropout
Rate",,
Gilroy Unified School District,english_learner_progress,English Learner Progress & Reclassification,0,14,3,22719825.56,13835509.36,3,1,0,2,0.6667,3,1,2,0.6667,"2.3 Language &
Literacy for
Multilingual Learners
(MLLs / ELLs)",1599260.0,"2.3 Language & Literacy
for Multilingual Learners
(MLLs / ELLs)",15992.0,"MMHS English Learner
Progress -- percent of
ELs making progress on
ELPAC",moving_away,-1.6%
Alum Rock Union Elementary School District,family_community_engagement,Family & Community Engagement,0,15,11,18356415.52,15823966.79,0,0,0,0,0.0,3,0,3,1.0,"Community and
Family Outreach and
Support",1604317.73,"Community and Family
Outreach and Support",1604317.73,"Attendance sheets for
DAC and DELAC
meetings",off_track,
Alum Rock Union Elementary School District,math_proficiency,Math Proficiency,0,3,3,35185725.0,31645402.5,0,0,0,0,0.0,0,0,0,0.0,"Special Services for
students",34989125.0,"Positive School
Climate and Culture",153100.0,"SBAC results -
English Language
Arts and Mathematics",,
Alum Rock Union Elementary School District,college_career_readiness,"College, Career & Postsecondary Readiness",1,7,1,20239018.8,15814899.95,0,0,0,0,0.0,1,0,1,1.0,"Routine Restricted
Maintenance Repair",4944016.25,"Biliteracy Pathway
Opportunities",82924.0,"Students meeting
Pathway to Seal of
Biliteracy criteria",off_track,
San José Unified School District,math_proficiency,Math Proficiency,0,4,3,24972953.43,22425324.89,13,12,0,1,0.0769,3,2,1,0.3333,"Rigorous
Curriculum -
Innovative
Workforce",21786716.3,"Rigorous
Curriculum -
Additional",2934571.13,"Math: Percentage
of students who
demonstrate
college
preparedness
pursuant to the
Early Assessment
Program (Standard
Exceeded/Level 4)
Source: DataQuest",moving_away,Grade 11:
sunnyvale,family_community_engagement,Family & Community Engagement,0,8,1,33994245.13,30594820.62,0,0,0,0,0.0,0,0,0,0.0,"Inclusive and
Nurturing
Environments",2288145.0,"Equitable
Opportunities
Targeted Staff",2541043.88,"Total number of parent
engagement/parent
education opportunities
offered centrally and at
school sites.",,
Morgan Hill Unified School District,english_learner_progress,English Learner Progress & Reclassification,3,126,14,22951131.97,14179042.83,39,33,0,6,0.1538,7,0,7,1.0,"Long Term English
Learner (LTEL)-
Development of LTEL
courses and
supplemental materials
to improve outcomes for
English Learners.
(Differentiated
Assistance and CA
School Dashboard -
Academics)",66406.0,"English Language
Development
Teacher on Special
Assignment to
improve outcomes for
English Learners
(Differentiated
Assistance and CA
School Dashboard -
Academics).",150453.15,"Pupil Achievement:
English Learner
graduates that have
successfully completed
courses that satisfy
UC/CSU a-g university
entrance requirements
(DataQuest)",moving_away,Class of 2024
Gilroy Unified School District,special_education_inclusion,Special Education & Inclusion,0,11,8,23094635.56,14622724.96,21,18,0,3,0.1429,8,1,7,0.875,2.1 Equity & Inclusion,678367.0,"1.4 District-led
Professional
Learning",693561.0,"MMHS CAASPP Math --
Nearly Met or above",moving_away,-2.3%
sunnyvale,data_technology,Data Systems & Instructional Technology,0,5,0,29643353.12,26679017.81,0,0,0,0,0.0,0,0,0,0.0,"Inclusive and
Nurturing
Environments Base
Staffing",20828762.12,"Students Achieve
Mastery",4900344.0,,,
sunnyvale,college_career_readiness,"College, Career & Postsecondary Readiness",0,7,0,25816953.12,23235257.81,0,0,0,0,0.0,0,0,0,0.0,"Inclusive and
Nurturing
Environments Base
Staffing",20828762.12,"Inclusive and
Nurturing
Environments",2288145.0,,,
Fremont Union High School District,college_career_readiness,"College, Career & Postsecondary Readiness",2,14,4,15107190.47,9384956.23,14,8,0,6,0.4286,1,0,1,1.0,"Advanced Placement
Courses",6993208.68,"Career Technical
Education",835828.0,"Increase the percentage
of students who have
successfully completed
both A-G requirements
and a CTE pathway.",moving_away,+0.5%
Gilroy Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",0,5,7,10702528.0,9218111.2,16,10,0,6,0.375,7,1,6,0.8571,"College and Career
Readiness (including
Career Technical
Education (CTE))",766325.0,"College and Career
Readiness",188624.0,UC/CSU A-G Ready,moving_away,Overall: -2.8%
Santa Clara Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,16,3,24119736.0,19899641.6,46,45,0,1,0.0217,1,1,0,0.0,"Provide small group
in-class Tier 1, Tier 2
and Tier 3 early
literacy support to
students with highest
need",3557708.0,"Provide before and
after school support
for students with the
highest need as a
Tier 2 support.",200000.0,"Percent of students
receiving 1:1 literacy
intervention (Reading
Recovery) meeting &
exceeding the Reading",,Overall: -4%.
Cupertino Union Elementary School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,13,2,14094972.0,7841781.4,2,1,0,1,0.5,1,0,1,1.0,"SST Meetings & Tier
1/Tier 2 Site Teams",0.0,"After School Sports
(Middle School)",106184.0,"ELOP: Percentage of
eligible unduplicated
students (English
Learners, Foster Youth,
Low-Income) enrolled in
the Expanded Learning
Opportunities Program",moving_away,-1%
Gilroy Unified School District,ela_proficiency,ELA Proficiency & Literacy,0,15,7,16698867.0,13689704.05,16,16,0,0,0.0,7,4,3,0.4286,"2.3 Language &
Literacy for
Multilingual Learners
(MLLs / ELLs)",1599260.0,"2.3 Language & Literacy
for Multilingual Learners
(MLLs / ELLs)",15992.0,"CAASPP ELA
Met/Exceeded",off_track,Overall : +2.3%
Santa Clara Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,13,4,21819218.0,18322944.75,4,3,1,0,0.0,2,2,0,0.0,"Provide equitable
mental health and
wellness support for
all students, with a
focus on support for
our English learners,
foster youth,
homeless students,
and low income
students.",14868083.0,"Provide supplemental
site level support to
better address
unduplicated student
wellness, behavioral,
and mental health
needs.",1127342.0,"Percent of secondary
school staff trained in
Mental Health Literacy.
(Action 2.2)",,
Santa Clara Unified School District,family_community_engagement,Family & Community Engagement,1,12,4,16657737.0,14452054.3,4,2,1,1,0.25,1,1,0,0.0,"The Family Resource
Center partners with
school sites to offer a
comprehensive set of
services and
supports to foster
youth, students
experiencing
homelessness,
English learners, low
income, and other
families to address
basic needs and
access both
community and
school site
resources.",391333.0,"Increase meaningful
engagement through
educational
opportunities for
parents and families,
district events, and
volunteerism.",5000.0,"Number of family
Resource Center
contacts each year
(Action 3.3)",,"students = -2,151"
East Side Union High School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,10,0,29122192.0,17559815.2,0,0,0,0,0.0,0,0,0,0.0,"Mental health & wellness support provided by school
social workers and wellness center support staff
using an MTSS framework",5133499.0,Academic and social-emotional counseling p,7890122.0,,,
Santa Clara Unified School District,ela_proficiency,ELA Proficiency & Literacy,2,23,22,12282348.0,8968931.8,76,62,5,9,0.1184,8,2,6,0.75,"Provide students with
interventions in
reading/writing, and
math in order to deter
task avoidance and",10035.0,"Provide students with
interventions in
reading/writing, and
math in order to deter
task avoidance and an
escalation in behavior .",10035.0,"11th Grade ELA
EAP/CAASPP, Standard
Met/Exceeded",moving_away,All: -12.04%
Alum Rock Union Elementary School District,data_technology,Data Systems & Instructional Technology,0,8,0,17363694.78,15201844.8,0,0,0,0,0.0,0,0,0,0.0,"Supplemental
Educational
Programs and
Platforms",368828.12,"Supplemental
Educational Programs
and Platforms",368828.12,,,
Morgan Hill Unified School District,graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",1,57,7,11068068.12,7361707.76,27,17,3,7,0.2593,5,1,4,0.8,"Credit Recovery -
Provide English
Learners,
Socioeconomically
Disadvantaged, and
Foster Youth who
have failed or missed
courses the
opportunity to retake
and earn credits
needed for
graduation including,
but not limited to,
online courses,
summer school,
after-school
programs, and
individualized
learning plans to help
students stay on",5000.0,"Credit Recovery -
Provide English
Learners,
Socioeconomically
Disadvantaged, and
Foster Youth who have
failed or missed courses
the opportunity to retake
and earn credits needed
for graduation including,
but not limited to, online
courses, summer school,
after-school programs,
and individualized
learning plans to help
students stay on track
for graduation.
(Differentiated
Assistance and CA
School Dashboard -
Academics, College and
Career Readiness,
Graduation Rates)",5000.0,"Pupil Achievement:
High School Graduation
Rates
(Cohort/DataQuest)",off_track,Class of 2024
Mountain View Whisman School District,ela_proficiency,ELA Proficiency & Literacy,0,19,7,8773864.0,6388591.55,55,42,9,4,0.0727,6,0,6,1.0,Early Literacy Team,679448.0,Early Literacy Team,452965.0,"Priority 4 - Student
Achievement
CAASPP Results - ELA",moving_away,Overall: -2
Mountain View Whisman School District,english_learner_progress,English Learner Progress & Reclassification,0,21,5,10236090.0,7104752.0,10,10,0,0,0.0,4,1,3,0.75,"Integrated English
Language
Development -
English Learners and
Long Term English
Learners",25000.0,"Designated English
Language
Development -
English Learners and
Long Term English
Learners",25000.0,"English Learner
Progress - California
Dashboard",moving_away,Dashboard 2024
Morgan Hill Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",2,36,4,9031436.02,6128042.71,16,11,0,5,0.3125,3,1,2,0.6667,"Provide Licensed and
Associate Mental
Health Professionals
to support wellness -
Staff with expertise in
diagnosing and
treating mental health
issues, offering
counseling and
therapy, and
developing
individualized support
plans to ensure that
students have access
to timely,
professional mental
health care, which
can improve their
emotional well-being,
academic
performance, and
overall quality of life
to improve outcomes
for English Learners,
Foster Youth,
Homeless Youth and",989012.66,"Provide Licensed and
Associate Mental Health
Professionals to support
wellness - Staff with
expertise in diagnosing
and treating mental
health issues, offering
counseling and therapy,
and developing
individualized support
plans to ensure that
students have access to
timely, professional
mental health care,
which can improve their
emotional well-being,
academic performance,
and overall quality of life
to improve outcomes for
English Learners, Foster
Youth, Homeless Youth
and Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
Dashboard - Academics,
Chronic Absenteeism,
Suspension, Graduation
Rate)",989012.0,"School Climate:
Number of referrals to
the wellness center",moving_away,2024-25 (as of
sunnyvale,math_proficiency,Math Proficiency,0,3,3,5954288.0,5358859.2,13,10,0,3,0.2308,3,0,3,1.0,"Students Achieve
Mastery",4900344.0,"Equitable
Opportunities
Base Resources &
Services",1053944.0,"Demographic make up
of Algebra 1 course",moving_away,Hispanic: -1.97%
Gilroy Unified School District,math_proficiency,Math Proficiency,0,8,6,7215959.0,5515035.1,14,10,1,3,0.2143,6,1,5,0.8333,"2.4 Expanded
Learning
Opportunities
(Acceleration,
Intervention, &
Summer
Intersession)",2318319.0,"2.3 Language &
Literacy for
Multilingual Learners
(MLLs / ELLs)",1599260.0,"MMHS CAASPP Math --
Nearly Met or above",moving_away,-2.3%
Milpitas Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,8,2,7546953.0,4004152.1,8,2,0,6,0.75,1,0,1,1.0,"Tier 1, 2, and 3
Social Emotional and
Mental Health
Supports",324398.0,"Administrative and
Support Staff Staffing",2573048.0,"Proportionality of
Suspensions",moving_away,-0.5% -58
Mountain View Whisman School District,special_education_inclusion,Special Education & Inclusion,0,15,7,7500837.0,5254708.65,60,40,14,6,0.1,7,1,6,0.8571,"Addressing Chronic
Absenteeism
Differentiated
Assistance",133416.0,"Supports for
Students with
Disabilities -
Differentiated
Assistance",4000.0,"Priority 4 - Student
Achievement
CAASPP Results - ELA",moving_away,Overall: -2
Morgan Hill Unified School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,52,3,13131974.52,8271487.97,14,11,0,3,0.2143,1,1,0,0.0,"Student Engagement
and Attendance -
Initiatives focused on
promoting active
participation in learning
activities and ensuring
regular student
attendance including
creating a positive and
supportive school
environment where
students feel motivated,
connected, and valued
to improve student
outcomes for English
Learners, Foster Youth
and Socioeconomically
Disadvantaged students.
(Differentiated
Assistance and CA
Dashboard -Chronic
Absenteeism)",92000.0,"Student Engagement
and Attendance -
Initiatives focused on
promoting active
participation in
learning activities and
ensuring regular
student attendance
including creating a
positive and
supportive school
environment where
students feel
motivated,
connected, and
valued to improve
student outcomes for
English Learners,
Foster Youth and",92000.0,"Pupil Engagement:
Chronic Absenteeism
Rates
(Aeries SIS)",on_track,2024-25 Chronic
Gilroy Unified School District,graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",0,4,5,3968298.0,3338150.2,6,1,0,5,0.8333,4,0,4,1.0,"2.4 Expanded
Learning
Opportunities
(Acceleration,
Intervention, &
Summer
Intersession)",2318319.0,"College and Career
Readiness (including
Career Technical
Education (CTE))",766325.0,"4-year Cohort
Graduation Rate",moving_away,-4.6% (Overall)
Mountain View Whisman School District,math_proficiency,Math Proficiency,0,16,6,6338554.0,4211230.15,53,34,14,5,0.0943,6,0,6,1.0,"Mathematics
Programming and
Curriculum Adoption",4920.0,"Addressing Academic
Outcomes for Homeless
Students in ELA/Math -
Differentiated Assistance",10000.0,i-Ready math,moving_away,Overall: -1
Morgan Hill Unified School District,family_community_engagement,Family & Community Engagement,1,39,8,8104756.82,4600655.86,14,10,1,3,0.2143,3,1,2,0.6667,"District English Learner
Advisory Committee
(DELAC) and Migrant
Parent/ Guardian
Advisory Council
(MPAC) - Support
advisory groups within
the District that
represent the interests of
students identified as
English Learner and
migrant families that play
a crucial role in ensuring
that the District's
policies, programs, and
resources effectively
support the academic",800.0,"District English
Learner Advisory
Committee (DELAC)",800.0,"Parental
Involvement/Pupil
Engagement:
Community Liaison
Home Visits",off_track,2024-25
Mt. Pleasant Elementary School District (MPESD),ela_proficiency,ELA Proficiency & Literacy,1,14,2,5186337.0,3958759.9,37,34,2,1,0.027,2,0,2,1.0,Parent Engagement,14000.0,"Support teachers
new to the teaching
profession.",330550.0,"CAASPP Results for
English Language Arts,
Mathematics, and
Science",off_track,30% standard met
Alum Rock Union Elementary School District,mental_health_wellness,"Mental Health, SEL & Wellness",1,6,1,8967281.12,7572242.75,0,0,0,0,0.0,0,0,0,0.0,"Positive School
Climate and Culture",2385501.31,"Supplemental
services and
intervention for
designated student
populations",1127858.81,"Wellness Center
pre/post check-in/check-
out assessment",,
East Side Union High School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",2,18,0,12677343.0,7318351.35,0,0,0,0,0.0,0,0,0,0.0,Summer School Program,722823.0,"Expanded learning sessions in Math and English
Language Arts for students performing at the lowest
performance level",60000.0,,,
Gilroy Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,9,0,9182586.0,7206265.0,0,0,0,0,0.0,0,0,0,0.0,"2.4 Expanded Learning
Opportunities
(Acceleration,
Intervention, & Summer
Intersession)",23183.0,"2.4 Expanded
Learning
Opportunities
(Acceleration,
Intervention, &
Summer
Intersession)",2318319.0,,,
Alum Rock Union Elementary School District,chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,0,7,4,7984804.64,7174624.18,0,0,0,0,0.0,0,0,0,0.0,Home visits,10000.0,Community Liaison,54413.9,"Dashboard Data on
Chronic Absenteeism",,
