district_name,goal_number,action_number,title,description_snippet,total_funds,contributing,explicit_workflow_title
Mt. Pleasant Elementary School District (MPESD),3,3.3,Improve Student Engagement and Attendance,"Purchasing of new library books, services, and furnitures will support to enhance reading engagement, help with developing a school-wide reading culture, provide students with leadership opportunities, and promote the role of the library within the school site. The library needs ",40000.00,True,False
Los Gatos Union Elementary School District,1,1.4,Continue to enforce attendance policy,We will continue to enforce our attendance policy. We will offer independent study as appropriate. There is a cost of a .2 independent study coordinator.,40000.00,False,False
Morgan Hill Unified School District,1.3,1.3.d,"Freshman on Track - Provide ninth-grade students support to stay on track academically and socially during their first year of high school. The program includes tracking students' progress in attendance, course performance, and behavior and providing targeted interventions and support to English Learners, Socioeconomically Disadvantaged, and","Freshman on Track Success Program (e.g., materials, supplies, extra hours, stipends, materials and supplies for summer connection program, etc) for English Learners, Socioeconomically Disadvantaged, and Foster Youth. (CYBH Grant and LCFF Supplemental) Foster Youth who may be at r",25497.00,True,True
Morgan Hill Unified School District,1.3,1.3.d,"Freshman on Track - Provide ninth-grade students support to stay on track academically and socially during their first year of high school. The program includes tracking students' progress in attendance, course performance, and behavior and providing targeted interventions and support to English Learners, Socioeconomically Disadvantaged, and Foster Youth who may be at risk of falling behind or disengaging from school. (Differentiated Assistance and CA School Dashboard - Academics)",,25497.00,True,True
East Side Union High School District,5,5.7,Attendance Support through Family Engage,,25000.00,,False
East Side Union High School District,5,5.7,"Attendance Support through Family Engagement, Communication, and Education",,25000.00,True,True
East Side Union High School District,5,5.8,Professional Development for Staff strategies to improve student engagement and attendance,,16465.00,False,False
Loma Prieta Joint Union School District,2,2.5,Targeted counseling for attendance,Counseling services for students identified as at risk for chronic absenteeism.,15000.00,True,False
East Side Union High School District,7,7.5,Academic mini-sessions for credit and attendance recovery,,15000.00,False,False
East Side Union High School District,5,5.5,Restorative SARB,,10000.00,True,False
East Side Union High School District,5,5.4,Attendance Incentive Programs,,10000.00,False,False
Alum Rock Union Elementary School District,4,4.3,Home visits,Conduct home visits in which staff members gift school readiness backpacks supplied with materials for the student and family to bridge transition to school and support families in supporting their child. The importance of student attendance will be priority topic during the home,10000.00,False,True
Oak Grove School District,5,5.7,Attendance Improvement and Monitoring Socioeconomically Disadvantaged Students Socioeconomically Disadvantaged Students,,6500.00,False,True
Saratoga Union School District,3,3.6,A district Attendance Committee with representatives from each school will be formed to create district protocols and build strategies at each MTSS tier. District CA Dashboard data shows LEA student groups (Socioeconomically Disadvantaged 28.1% chronically absent and Students with Disabilities,"*Develop School Refusal/Avoidance protocols, one for middle school site and one for elementary school sites. *Create a chronic absenteeism protocol for use district-wide, including family meetings and steps of the SARB process. *Build a document with various strategies for absent",0.00,False,True
Saratoga Union School District,3,3.7,"School Refusal/Avoidance Teams at each school site to address Chronic Absenteeism due to School Refusal CA Dashboard shows Foothill Elementary School as overall 13.7% chronically absent and specifically Asian students as 11.8% chronically absent, and Students with Disabilities 22% chronically absent","*Each school team will determine which steps need to be taken for individual students and assign a caring adult; monthly reporting at Principals' meeting Specifically, at Foothill, a team will focus on supporting school-wide attendance and providing additional support to Asian st",0.00,False,True
Saratoga Union School District,3,3.8,Relationship are key to school attendance and success as shown by research.,"*Attendance will be monitored closely and reviewed monthly at a district principal’s meeting, where students with concerns about attendance will be identified, and a caring adult will be assigned. This collaborative district monitoring step oversees the progress at each school si",0.00,False,False
Saratoga Union School District,3,3.6,A district Attendance Committee with representatives from each school will be formed to create district protocols and build strategies at each MTSS tier. District CA Dashboard data shows LEA student groups (Socioeconomically Disadvantaged 28.1% chronically absent and Students with Disabilities 16.5% chronically absent),,0.00,False,True
Mountain View Whisman School District,2,2.2,Improving Attendance Rates,To improve attendance and decrease truancy and chronic absenteeism the district will continue to do the following: 1. Communicate the importance of attendance in school and District newsletters and websites 2. Review disaggregated attendance data monthly with site administrators ,0.00,False,False
Los Gatos Union Elementary School District,1,1.1,Monthly attendance data review,"Monthly review of attendance data with site leaders. Implement strategies to improve school attendance rate at each site as needed. Since all of our reportable student groups were red or orange on the 2023 CA dashboard for chronic absenteeism, this action applies to all students.",0.00,False,False
Los Gatos Union Elementary School District,1,1.2,Identify students at risk of chronic absenteeism with monthly data reviews,"During monthly attendance data review with site leaders, we will also identify students who are at risk of becoming chronically absent, as well as those students who are already chronically absent. Since all of our r e p ortable student groups were red or orange on the 2023 CA da",0.00,False,False
Los Gatos Union Elementary School District,1,1.3,Continue chronic absenteeism messaging,"We will continue to send attendance reminders before and after breaks, and other times as needed based on attendance data review. We will be mindful to not send reminder around religious holidays. Since all of our reportable student groups were red or orange on the 2023 CA dashbo",0.00,False,True
Loma Prieta Joint Union School District,2,2.1,Attendance Intiatives,P r o vide SART and SARB meetings as need arises for students identified as struggling with daily attendance. Purchase Personalized Learning Instruction (PLI) from iReady as a means to assist with Independent Study options so that our district can improve attendance for all stude,0.00,False,False
Evergreen Elementary School District Board of Trustees,2,2.10,Re-Engagement Plan (This action has been moved to Action 2.2.),"(This action has been moved to Action 2.2.) D e velop a Re-Engagement Plan to support actions and processes that address chronic absenteeism, behavioral challenges and sense of belonging. This addresses the student groups who were at the lowest performance level in the Chronic Ab",0.00,True,False
Cupertino Union Elementary School District,2,2.7,"Attendance Messaging, Protocols and Site Teams","Address Chronic Absenteeism in order to ensure positive student engagement in learning. Implement attendance campaign messaging as well as attendance review protocols to monitor student engagement. While no student groups or schools are ""Red"" on the 2024 CA Dashboard, the followi",0.00,False,True
Cambrian School District,3,3.7,Enhancing Student Attendance through A2A Implementation,"The district will continue to prioritize improving student attendance and reducing chronic absenteeism, recognizing that consistent attendance is e s sential for academic success and fostering a strong sense of school belonging. Throughout the 2024-25 school year, the district wi",0.00,False,False
